partner_name,category,region,post_count,total_reposts,total_comments,total_attitudes,total_comment_likes,avg_reposts,avg_comments,avg_attitudes,engagement_rate,top_posts,date_range_start,date_range_end
时尚芭莎,Brand,CN,1,832,1251,15340,0,832.0,1251.0,15340.0,17423.0,"[""5195920046035411|和平精英 x 时尚芭莎「刺激之夜」时尚企划开启！2025和平精英刺激之夜·独家时尚创意合作伙伴时尚芭(15,340 likes)""]",2025-08-04T06:02:17+00:00,2025-08-04T06:02:17+00:00
希林娜依高,Artist,CN,2,10679,1378,14887,0,5339.5,689.0,7443.5,13472.0,"[""4806428030929797|和平精英的微博视频(10,588 likes)"", ""4803072935073610|带着追空投雨的勇气，与每位不凡的精英特种兵一起并肩作战！ 8月21日，和3周年庆精英邀请官 @希林娜(4,299 likes)""]",2022-08-16T04:48:07+00:00,2022-08-25T11:00:04+00:00
精灵梦叶罗丽,Anime,CN,3,685,2314,14512,0,228.33,771.33,4837.33,5837.0,"[""5173153212924305|和平精英的微博视频(6,777 likes)"", ""5173149433332805|#和平精英新皮肤#(6,130 likes)"", ""5174485738853164|#和平精英新皮肤#(1,605 likes)""]",2025-06-02T10:00:00+00:00,2025-06-06T02:30:00+00:00
"麦当劳, 一加手机, Stride炫迈, 361度, 品客大叔Pringles, 周大生, 乐刻运动, IM-BODY, SEASONS季节香薰, CleerAudio",Brand,CN,3,462,536,13229,0,154.0,178.67,4409.67,4742.33,"[""4927692073343742|和平精英的微博视频(12,195 likes)"", ""4927329664767395|#和平精英空投节#(548 likes)"", ""4927344764261335|#和平精英空投节#(486 likes)""]",2023-07-25T02:00:00+00:00,2023-07-26T02:00:05+00:00
狐妖小红娘,Anime,CN,11,997,3094,13102,0,90.64,281.27,1191.09,1563.0,"[""4968400290320088|#和平精英#(2,883 likes)"", ""4968317247556215|和平精英的微博视频(2,880 likes)"", ""4968437766160857|和平精英的微博直播(2,581 likes)""]",2023-10-30T07:05:09+00:00,2023-12-04T10:00:00+00:00
大话西游,Movie,CN,10,3442,1923,11891,0,344.2,192.3,1189.1,1725.6,"[""4859585787859775|#和平精英盖世英雄#(5,860 likes)"", ""4860340765983969|和平精英的微博视频(1,624 likes)"", ""4860016123184165|和平精英的微博视频(1,286 likes)""]",2023-01-18T08:30:00+00:00,2023-06-13T10:01:53+00:00
Spider-Man,Movie,CN,3,473,592,11586,0,157.67,197.33,3862.0,4217.0,"[""4906311189268319|抽奖详情(10,881 likes)"", ""4906733958600420|和平精英的微博视频(381 likes)"", ""4907859466782074|PEL和平精英职业联赛选手@上海NV-Paraboy  @33Svan @我和FlowerC@VS_(324 likes)""]",2023-05-28T02:00:05+00:00,2023-06-01T08:32:22+00:00
DC,IP,CN,7,2322,6087,10844,0,331.71,869.57,1549.14,2750.43,"[""5169404759246749|抽奖详情(4,691 likes)"", ""5169533305492776|和平精英的微博视频(3,254 likes)"", ""5169146062703401|和平精英的微博视频(1,035 likes)""]",2025-05-20T06:12:07+00:00,2025-05-24T07:32:44+00:00
Maserati,Brand,CN,15,7237,3835,10721,0,482.47,255.67,714.73,1452.87,"[""4859600892069271|玛莎拉蒂最新款载具皮肤即将上线！ 1月19日晚 20:00， 月洋将和神秘人气主播一起为大家提前展示(3,537 likes)"", ""4859238499223201|#和平精英玛莎拉蒂新春车皮#(1,768 likes)"", ""4860046322963639|游园纳福(767 likes)""]",2023-01-18T04:30:01+00:00,2023-12-26T14:12:20+00:00
快手,Other,CN,23,2443,3726,10193,0,106.22,162.0,443.17,711.39,"[""4797306967427380|#和平精英夏日空投派对#(1,643 likes)"", ""4769721864687737|#和平精英突变团竞#(1,424 likes)"", ""4752038467997077|#和平精英#(491 likes)""]",2022-03-28T08:55:22+00:00,2025-08-05T12:00:57+00:00
中国大熊猫保护研究中心,Other,CN,5,601,1073,9411,0,120.2,214.6,1882.2,2217.0,"[""4938631758218657|抽奖详情(5,451 likes)"", ""4935694788600925|和平精英的微博视频(2,914 likes)"", ""4934949407036852|和平精英的微博视频(358 likes)""]",2023-08-15T02:38:08+00:00,2023-08-25T06:30:29+00:00
周大生,Brand,CN,1,3167,729,8270,0,3167.0,729.0,8270.0,12166.0,"[""4949797717672624|微博抽奖公示(8,270 likes)""]",2023-09-25T02:00:01+00:00,2023-09-25T02:00:01+00:00
王玉雯,Artist,CN,4,3468,901,8076,0,867.0,225.25,2019.0,3111.25,"[""5265467754153710|上城士的微博视频(3,840 likes)"", ""5265482841067197|#和平精英春节双神装降临#(1,537 likes)"", ""5265822585195158|和平精英的微博视频(1,359 likes)""]",2026-02-12T04:00:03+00:00,2026-02-13T03:30:01+00:00
谭晶,Artist,CN,2,1891,864,7502,0,945.5,432.0,3751.0,5128.5,"[""5241618095672548|和平精英的微博视频(4,112 likes)"", ""5232211105679295|抽奖详情(3,390 likes)""]",2025-11-12T09:30:00+00:00,2025-12-08T08:30:01+00:00
哈尔滨文旅,Other,CN,2,710,714,7159,0,355.0,357.0,3579.5,4291.5,"[""5237918714303127|#和平精英雪战到底#(5,033 likes)"", ""5237556326698193|#和平精英雪战到底#(2,126 likes)""]",2025-11-27T03:30:00+00:00,2025-11-28T03:30:00+00:00
盐津铺子,Brand,CN,1,250,610,7069,0,250.0,610.0,7069.0,7929.0,"[""5196583848645116|#盐津铺子大魔王#(7,069 likes)""]",2025-08-06T02:00:00+00:00,2025-08-06T02:00:00+00:00
斗鱼,Brand,CN,16,1720,2672,6925,0,107.5,167.0,432.81,707.31,"[""4796566830844100|#斗鱼精英手册#(1,084 likes)"", ""4786104111467244|#斗鱼精英手册#(685 likes)"", ""4800571627803173|#斗鱼秋名山杯#(503 likes)""]",2022-06-30T09:00:04+00:00,2025-06-22T02:30:01+00:00
中国李宁,Brand,CN,5,741,2074,6661,0,148.2,414.8,1332.2,1895.2,"[""4892918073263129|抽奖详情(3,374 likes)"", ""4889671525995153|和平精英的微博视频(1,048 likes)"", ""4889312070468974|和平精英的微博视频(1,047 likes)""]",2023-04-11T04:11:39+00:00,2023-04-29T04:00:09+00:00
"洛天依, 黄子弘凡, 哔哩哔哩",Artist,CN,1,5364,2433,6364,0,5364.0,2433.0,6364.0,14161.0,"[""5250012007370922|哔哩哔哩跨年晚会的微博视频(6,364 likes)""]",2025-12-31T12:24:26+00:00,2025-12-31T12:24:26+00:00
否极工作室,Other,CN,1,215,221,6352,0,215.0,221.0,6352.0,6788.0,"[""5228171989358066|和平精英的微博视频(6,352 likes)""]",2025-11-01T06:00:00+00:00,2025-11-01T06:00:00+00:00
京东电视俱乐部,Brand,CN,1,2415,1000,6303,0,2415.0,1000.0,6303.0,9718.0,"[""4834573474857311|#屏实力进圈#(6,303 likes)""]",2022-11-11T03:00:00+00:00,2022-11-11T03:00:00+00:00
欢乐谷,Brand,CN,2,362,396,6082,0,181.0,198.0,3041.0,3420.0,"[""5245913897111127|#和平精英欢乐谷联动#(6,066 likes)"", ""5258959863681435|和平精英的微博视频(16 likes)""]",2025-12-20T05:00:00+00:00,2026-01-25T05:00:01+00:00
奥斯汀玫瑰,Artist,CN,2,491,328,5909,0,245.5,164.0,2954.5,3364.0,"[""4915499216142487|和平精英的微博视频(5,417 likes)"", ""4915491661157159|微博抽奖公示(492 likes)""]",2023-06-22T10:00:00+00:00,2023-06-22T10:30:00+00:00
华发冰雪热雪奇迹,Brand,CN,4,1446,1758,5893,0,361.5,439.5,1473.25,2274.25,"[""5248061800193374|#深圳华发冰雪乐园#(2,029 likes)"", ""5244071758005629|#和平精英雪战到底#(2,022 likes)"", ""5248065575328140|和平精英的微博视频(1,023 likes)""]",2025-12-08T03:00:00+00:00,2025-12-26T03:30:00+00:00
FILA,Brand,CN,5,507,2652,5537,0,101.4,530.4,1107.4,1739.2,"[""4771254710832993|#FILA和平精英# 空投行动持续进行中，快和鸡仔一起@FILA 加入时尚空投狂欢派对，成为#FIL(3,039 likes)"", ""4769404073803928|#我的和平故事#(748 likes)"", ""4767694677345235|#我的和平故事#(656 likes)""]",2022-05-09T04:00:06+00:00,2022-05-20T09:33:51+00:00
花花,Artist,CN,1,2047,2609,5135,0,2047.0,2609.0,5135.0,9791.0,"[""5215080733476067|抽奖详情(5,135 likes)""]",2025-09-26T03:00:00+00:00,2025-09-26T03:00:00+00:00
qdc,Brand,CN,1,2163,1704,4706,0,2163.0,1704.0,4706.0,8573.0,"[""5174504613218946|微博抽奖公示(4,706 likes)""]",2025-06-06T03:45:00+00:00,2025-06-06T03:45:00+00:00
淘宝闪购,Brand,CN,1,140,524,4677,0,140.0,524.0,4677.0,5341.0,"[""5197731410216904|#刺激之夜#(4,677 likes)""]",2025-08-09T06:00:00+00:00,2025-08-09T06:00:00+00:00
张大大,Artist,CN,2,532,359,4458,0,266.0,179.5,2229.0,2674.5,"[""4949163533668472|和平精英的微博视频(2,357 likes)"", ""4949148433384678|#张大大送星星#(2,101 likes)""]",2023-09-23T07:00:00+00:00,2023-09-23T08:00:00+00:00
一条小团团OvO,Artist,CN,3,145,1466,4407,0,48.33,488.67,1469.0,2006.0,"[""4772695928213121|5月27日0点重新开张(3,272 likes)"", ""4811848744439969|#和平精英#(675 likes)"", ""4812482922945414|#和平精英#(460 likes)""]",2022-05-24T09:00:44+00:00,2022-09-11T04:00:03+00:00
饥饿游戏：鸣鸟与蛇之歌,Movie,CN,1,197,727,4148,0,197.0,727.0,4148.0,5072.0,"[""4969011821414408|和平精英的微博视频(4,148 likes)""]",2023-11-17T02:30:01+00:00,2023-11-17T02:30:01+00:00
五菱汽车,Brand,CN,1,260,618,4065,0,260.0,618.0,4065.0,4943.0,"[""5158560833208653|和平精英的微博视频(4,065 likes)""]",2025-04-23T03:50:06+00:00,2025-04-23T03:50:06+00:00
一加,Brand,CN,4,1211,1844,3934,0,302.75,461.0,983.5,1747.25,"[""5237624278092400|#一加Ace6T#(1,589 likes)"", ""4949118239375876|抽奖详情(1,134 likes)"", ""4805231512128600|听说@和平精英王小歪 和@JTeamRGG 成为了本次的「Ace最稳王牌」，恭喜恭喜！参与了竞猜活动(812 likes)""]",2022-08-15T11:20:02+00:00,2025-11-27T08:00:01+00:00
一加手机,Brand,CN,4,4176,2488,3870,0,1044.0,622.0,967.5,2633.5,"[""4769770128017973|「稳住名场面」票选活动上线！快来欣赏选手们的最稳名场面，评出你心目中的PEL「最稳王牌」！ 关注+带(1,714 likes)"", ""4795497070461918|抽奖详情(1,121 likes)"", ""4852028490915854|抽奖详情(541 likes)""]",2022-04-21T09:33:57+00:00,2022-12-29T07:00:00+00:00
Transformers,Movie,CN,11,1791,1332,3787,0,162.82,121.09,344.27,628.18,"[""4984254763634533|和平精英的微博视频(654 likes)"", ""4983288400445663|和平精英的微博视频(499 likes)"", ""4811380660373941|#和平精英#讨论中(403 likes)""]",2022-09-08T03:00:03+00:00,2025-08-06T10:12:05+00:00
淘宝,Brand,CN,3,1059,1116,3690,0,353.0,372.0,1230.0,1955.0,"[""5228141792200985|#来淘宝吃鸡# 特种兵！你的好宝来咯！《和平精英》×淘宝4个月月赛狂欢启动，淘宝空投已就位！🎉 11(2,386 likes)"", ""5247363448573923|#大学生无限派对#(1,297 likes)"", ""5261496578998890|#和平精英全民赛场#(7 likes)""]",2025-11-01T04:00:00+00:00,2026-02-01T05:00:00+00:00
