mid,bid,created_at,text_preview,video_title,reposts,comments,attitudes,video_url,duration_sec,thumbnail,is_collab,partner,category
5269788462680797,Qthw2bfoF,2026-02-24T02:09:00+00:00,和平精英 #想去你的2026#天选队友！妹子组队吗？一辈子的那种！ 和平精英的微博视频,和平精英的微博视频,121,26,33,"https://f.video.weibocdn.com/u0/kpt3bSC7gx08vi4DhW6c01041200V8pX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603150&ssig=taqV1Xfxv0&KID=unistore,video",178.306,https://wx1.sinaimg.cn/orj480/007KbAWFgy1ia802wdetbj31hc0u04qp.jpg,0,,
5269786200379462,Qthso1AIm,2026-02-24T02:00:01+00:00,和平精英 #想去你的2026# 电竞社矛盾爆发！昔日队友大打出手，易泽小光愤然退社 和平精英的微博视频,和平精英的微博视频,131,21,33,"https://f.video.weibocdn.com/u0/FZCMKVthgx08vwqNz3Og01041202deMu0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603150&ssig=tsMUlecJRy&KID=unistore,video",276.225,https://wx2.sinaimg.cn/orj480/007KbAWFgy1iaiei0r6qrj31hc0u04qp.jpg,0,,
5269063687214906,QsYF2ugVs,2026-02-22T02:09:00+00:00,和平精英 #想去你的2026# 菜鸡韩澈出战电竞比赛，海岛战神变苟分老六 和平精英的微博视频,和平精英的微博视频,31,17,33,"https://f.video.weibocdn.com/u0/BAI2sJnlgx08vi3V290k01041202yG5X0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603152&ssig=rSnRPROG7R&KID=unistore,video",199.482,https://wx2.sinaimg.cn/orj480/007KbAWFgy1ia7zq4gcxqj31hc0u04qp.jpg,0,,
5266192524642311,QrLY8jtFZ,2026-02-14T04:00:02+00:00,#和平精英年兽大作战#年兽大作战现已上线！新春好礼掉不停！一年一度的年兽大作战玩法现已回归！年兽来袭，组队应战！合力击败BOSS，即可解锁限定新春福利、珍稀道具,和平精英的微博视频,18,11,33,"https://f.video.weibocdn.com/u0/CaTmXGEmgx08vk6s1Z5u01041202VVUJ0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603176&ssig=Y5LYWB9cIe&KID=unistore,video",164.467,https://wx3.sinaimg.cn/orj480/007KbAWFgy1ia9h0xg915j31hc0u0hdt.jpg,0,,
4832021664498528,Mdr1QiSgU,2022-11-04T02:00:00+00:00,#和平精英奥利弗动画抉择# | #吉莉战队新动画# 今日全网上映！  维克托入队后，继续队友招募之路的吉莉战队锁定了新目标：传说中的和平国联科研天才“30秒徒手,和平精英的微博视频,3,11,33,"https://f.video.weibocdn.com/o0/ANSJQiNZlx080uFqmJTq01041202kmjC0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772610545&ssig=6Oz1YKEs4B&KID=unistore,video",335.016,https://wx2.sinaimg.cn/orj480/007KbAWFgy1h7s1vb9x43j31hc0u01kx.jpg,0,,
5265928281129455,QrF5W4JP1,2026-02-13T10:30:01+00:00,#和平精英新皮肤##和平精英闹岁年君#新皮肤爆料丨除夕闹岁，年君降临！全新角色 -【闹岁年君】将于2月15日上线~除夕夜，万家灯火人们都在忙着贴春联、包饺子却忘,和平精英的微博视频,15,14,32,"https://f.video.weibocdn.com/u0/DMxosD9zgx08vjzPNZx6010412004JiM0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603179&ssig=WnBdTT8TRS&KID=unistore,video",10.402,https://wx2.sinaimg.cn/orj480/007KbAWFgy1ia93dbdgmyj31400u0jtg.jpg,0,,
5263625608500277,QqHbWzFjf,2026-02-07T02:00:01+00:00,#和平精英神装返场##和平精英# 传奇归来，重新执掌战场法则！沙丘之主·图卡盟、梦海之灵·妮芮妲、精灵之光·露米娜、圣域龙灵·瑞拉、最终圣卫者·帕修斯、灵猫魔法,和平精英的微博视频,5,11,32,"https://f.video.weibocdn.com/u0/iB4JOoTtgx08v8X9vrdS010412019frv0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603199&ssig=nXNma55NgV&KID=unistore,video",57.655,https://wx3.sinaimg.cn/orj480/007KbAWFgy1ia1e1pak78j31hc0u0x6p.jpg,0,,
5259337351299279,QoTDp5s07,2026-01-26T06:00:00+00:00,#和平精英丝路贺新春##和平精英丝路敦煌##和平精英# 和平精英2026春节版本「丝路贺新春」明日正式上线！穿越时光解锁敦煌经典坐标，飞天仙女下凡互动，限定载具,和平精英的微博视频,2,8,32,"https://f.video.weibocdn.com/u0/dVJBsXK6gx08uFCp2BJK0104121GYonL0E0B0?ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603221&ssig=icesnw5%2B9J&KID=unistore,video",60.599,https://wx4.sinaimg.cn/orj480/007KbAWFgy1i9g4poj8o1j31hc0u0kjn.jpg,0,,
5263746408120397,QqKkMy4u9,2026-02-07T10:00:01+00:00,和平精英#和平精英马上吃鸡##回家吃鸡倒计时#当记忆开始闪回，你脑海中第一个浮现的，是哪个画面？是海岛落日的奔跑，亦或是决赛圈加速的心跳？跟随镜头，鸡仔带你一键,和平精英的微博视频,4,9,31,"https://f.video.weibocdn.com/u0/dKDl7TaQgx08v53vEaf6010412019IVv0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603197&ssig=ceUTMYSXX5&KID=unistore,video",44.001,https://wx4.sinaimg.cn/orj480/007KbAWFgy1i9ykf55udhj31hc0u0npd.jpg,0,,
5260832208589195,QpwwsA2rp,2026-01-30T09:00:03+00:00,#和平精英##和平精英丝路敦煌##和平精英丝路贺新春# 一条视频带你打卡玩遍马年新春主题海岛 敦煌之旅打卡攻略，全新敦煌同款景点地标、西北特色美食等多个沉浸式打,和平精英的微博视频,1,13,31,"https://f.video.weibocdn.com/u0/1WCDRKYcgx08uR1gEFpS01041201UoEe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603213&ssig=Rx5Ayapao4&KID=unistore,video",112.221,https://wx4.sinaimg.cn/orj480/007KbAWFgy1i9oe53f6gjj31hc0u0e82.jpg,0,,
