Partner,Category,Video Count,Total Views,Total Likes,Total Comments,Avg Views,First Collab,Last Collab
TEKKEN 8,IP,5,2548024,4263,385,509605.0,2024-09-28T00:00:39+00:00,2024-10-19T04:45:27+00:00
Kaiju No. 8,Anime,3,2547354,2715,227,849118.0,2025-09-05T00:00:44+00:00,2025-09-14T00:00:31+00:00
"SANParks Honorary Rangers, SANCCOB, Wildlife Conservation Network, Global Penguin Society",Other,1,2511316,718,90,2511316.0,2026-01-03T05:54:22+00:00,2026-01-03T05:54:22+00:00
Zanmang Loopy,Other,4,2463967,4532,115,615992.0,2024-08-01T00:00:23+00:00,2024-08-30T00:05:16+00:00
Roberta Mancino,IP,2,2363423,428,28,1181712.0,2023-07-14T18:00:14+00:00,2023-07-15T17:00:18+00:00
Greek Nation Tourism Organization,Other,1,2271027,893,46,2271027.0,2022-02-15T00:00:06+00:00,2022-02-15T00:00:06+00:00
PMGC Esports Players,IP,1,2066130,5828,14,2066130.0,2025-12-08T14:00:11+00:00,2025-12-08T14:00:11+00:00
BamBam,Artist,1,1913352,9387,39,1913352.0,2025-12-14T15:00:14+00:00,2025-12-14T15:00:14+00:00
Maid Café,Other,1,1780247,280,9,1780247.0,2025-12-17T04:00:54+00:00,2025-12-17T04:00:54+00:00
Alpha7,Other,1,1763108,7653,47,1763108.0,2025-12-14T18:57:11+00:00,2025-12-14T18:57:11+00:00
Bus 2,IP,1,1653072,2945,24,1653072.0,2025-12-14T07:00:50+00:00,2025-12-14T07:00:50+00:00
Lost Frequencies,Artist,2,1550474,42073,1500,775237.0,2021-04-13T20:06:17+00:00,2021-04-21T00:00:06+00:00
Tower Defense Challenges,IP,1,1537199,171,22,1537199.0,2024-07-12T02:35:31+00:00,2024-07-12T02:35:31+00:00
R3HAB,Artist,1,1426297,24845,1098,1426297.0,2021-04-09T20:00:04+00:00,2021-04-09T20:00:04+00:00
Izzo,IP,1,1425026,17835,730,1425026.0,2018-11-08T01:00:04+00:00,2018-11-08T01:00:04+00:00
Scuderia Ferrari HP,Brand,1,1330056,160,35,1330056.0,2025-12-12T13:02:14+00:00,2025-12-12T13:02:14+00:00
Friends on Crazy Chicken Day,IP,1,1320486,382,15,1320486.0,2025-09-27T03:31:33+00:00,2025-09-27T03:31:33+00:00
Fried Chicken 2,IP,1,1226143,8455,29,1226143.0,2025-12-11T05:57:15+00:00,2025-12-11T05:57:15+00:00
Booth's gift,IP,1,1164096,8187,53,1164096.0,2025-12-12T09:01:10+00:00,2025-12-12T09:01:10+00:00
Bus 1,IP,1,1132103,554,6,1132103.0,2025-12-14T06:05:41+00:00,2025-12-14T06:05:41+00:00
Fried Chicken,IP,1,1005824,7939,15,1005824.0,2025-12-10T10:01:15+00:00,2025-12-10T10:01:15+00:00
Ghostie on Crazy Chicken Day,IP,1,935695,115,17,935695.0,2025-10-04T00:05:26+00:00,2025-10-04T00:05:26+00:00
Volkswagen Beetle Set,IP,1,816181,371,26,816181.0,2024-10-23T23:00:55+00:00,2024-10-23T23:00:55+00:00
American Tourister,IP,2,778758,3997,33,389379.0,2024-11-27T02:00:22+00:00,2024-12-04T01:00:30+00:00
XPPen,Brand,2,775245,284,487,387623.0,2025-08-21T00:09:31+00:00,2025-08-21T23:19:30+00:00
TENDED,IP,1,713898,702,14,713898.0,2025-08-01T02:00:35+00:00,2025-08-01T02:00:35+00:00
