video_id,title,published_at,duration,view_count,like_count,comment_count,is_collab,collab_partner,collab_category,collab_region,collab_summary,collab_confidence,classification_method,youtube_url
nIQXp0eTMYQ,PUBG MOBILE | 410 Balenciaga Collab Bangkok Store Event Highlight Video,2025-12-13T06:00:47+00:00,PT17S,733855,82,8,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=nIQXp0eTMYQ
wocy8rgQ0Ag,PUBG MOBILE | 410 Costume walkshow preheat video,2025-12-13T02:01:08+00:00,PT17S,393606,1192,23,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=wocy8rgQ0Ag
RHoRtiRZ-YU,PUBG MOBILE | Bring me to PMGC,2025-12-12T17:41:09+00:00,PT14S,1889140,7804,51,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=RHoRtiRZ-YU
fwqiaTd3Y1w,[EN] 2025 PMGC Grand Finals | Day 1 | PUBG MOBILE Global Championship,2025-12-12T15:51:08+00:00,PT6H42M10S,193221,3159,35,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=fwqiaTd3Y1w
yCRJ3CBv7Bo,Special Message from Scuderia Ferrari HP Official Reserve Driver Zhou Guanyu,2025-12-12T13:02:14+00:00,PT4M57S,1329908,157,35,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=yCRJ3CBv7Bo
TZknYPz6ocE,PUBG MOBILE Producer Talk ｜What's Next 2026,2025-12-12T11:01:00+00:00,PT3M43S,5976658,588,152,True,t 2026,IP,Global,Collaboration with t 2026,0.85,rule,https://www.youtube.com/watch?v=TZknYPz6ocE
ckADXOf3G5g,PUBG MOBILE | Chicko with Booth's gift,2025-12-12T09:01:10+00:00,PT10S,1164029,8196,54,True,Booth's gift,IP,Global,Collaboration with Booth's gift,0.85,rule,https://www.youtube.com/watch?v=ckADXOf3G5g
_kXH0WORvCQ,PUBG MOBILE | Lonely Chicko,2025-12-12T04:00:38+00:00,PT17S,1729709,687,5,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=_kXH0WORvCQ
4L-OxCAjYpc,PUBG MOBILE | 420 THEMED GAME MODE BETA SERVER CONFIRMATION 1,2025-12-12T02:00:05+00:00,PT11S,3299581,236,25,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=4L-OxCAjYpc
0NWCLlQTq14,PUBG MOBILE | Tuk-tuk cruising in Bangkok,2025-12-11T16:00:02+00:00,PT34S,3115,55,6,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=0NWCLlQTq14
TWfRHFzIko8,"One world, Two champions | PUBG United 2025 Main Trailer",2025-12-11T14:57:50+00:00,PT1M25S,1289674,152,20,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=TWfRHFzIko8
